date,val
5-Jan-15,1.1915
6-Jan-15,1.1914
7-Jan-15,1.1831
8-Jan-15,1.1768
9-Jan-15,1.1813
12-Jan-15,1.1804
13-Jan-15,1.1782
14-Jan-15,1.1775
15-Jan-15,1.1708
16-Jan-15,1.1588
20-Jan-15,1.1579
21-Jan-15,1.1593
22-Jan-15,1.1618
23-Jan-15,1.1198
26-Jan-15,1.1244
27-Jan-15,1.1306
28-Jan-15,1.1344
29-Jan-15,1.1315
30-Jan-15,1.1305
2-Feb-15,1.131
3-Feb-15,1.1376
4-Feb-15,1.1446
5-Feb-15,1.141
6-Feb-15,1.1447
9-Feb-15,1.1275
10-Feb-15,1.1297
11-Feb-15,1.1314
12-Feb-15,1.1328
13-Feb-15,1.1381
17-Feb-15,1.1415
18-Feb-15,1.1372
19-Feb-15,1.1387
20-Feb-15,1.1298
23-Feb-15,1.1298
24-Feb-15,1.1328
25-Feb-15,1.1346
26-Feb-15,1.1317
27-Feb-15,1.124
2-Mar-15,1.1227
3-Mar-15,1.1168
4-Mar-15,1.1124
5-Mar-15,1.1069
6-Mar-15,1.0963
9-Mar-15,1.086
10-Mar-15,1.0738
11-Mar-15,1.0578
12-Mar-15,1.0613
13-Mar-15,1.0572
16-Mar-15,1.0557
17-Mar-15,1.0635
18-Mar-15,1.0592
19-Mar-15,1.0677
20-Mar-15,1.0776
23-Mar-15,1.0912
24-Mar-15,1.095
25-Mar-15,1.0985
26-Mar-15,1.0973
27-Mar-15,1.0856
30-Mar-15,1.0845
31-Mar-15,1.0759
1-Apr-15,1.0755
2-Apr-15,1.083
3-Apr-15,
6-Apr-15,
7-Apr-15,1.0847
8-Apr-15,1.0862
9-Apr-15,1.0774
10-Apr-15,1.057
13-Apr-15,1.0552
14-Apr-15,1.0564
15-Apr-15,1.0579
16-Apr-15,1.0711
17-Apr-15,1.0814
20-Apr-15,1.0723
21-Apr-15,1.07
22-Apr-15,1.0743
23-Apr-15,1.0772
24-Apr-15,1.0824
27-Apr-15,1.0822
28-Apr-15,1.0927
29-Apr-15,1.1002
30-Apr-15,1.1215
1-May-15,
4-May-15,1.1152
5-May-15,1.1117
6-May-15,1.123
7-May-15,1.1305
8-May-15,1.1221
11-May-15,1.1142
12-May-15,1.1239
13-May-15,1.1221
14-May-15,1.1419
15-May-15,1.1328
18-May-15,1.1389
19-May-15,1.118
20-May-15,1.1118
21-May-15,1.1133
22-May-15,1.1164
26-May-15,1.0926
27-May-15,1.0863
28-May-15,1.0896
29-May-15,1.097
1-Jun-15,1.0944
2-Jun-15,1.1029
3-Jun-15,1.1134
4-Jun-15,1.1317
5-Jun-15,1.1218
8-Jun-15,1.1162
9-Jun-15,1.1249
10-Jun-15,1.1279
11-Jun-15,1.1232
12-Jun-15,1.122
15-Jun-15,1.1218
16-Jun-15,1.1215
17-Jun-15,1.1279
18-Jun-15,1.1404
19-Jun-15,1.1299
22-Jun-15,1.1345
23-Jun-15,1.1204
24-Jun-15,1.1213
25-Jun-15,1.1206
26-Jun-15,1.1202
29-Jun-15,1.1133
30-Jun-15,1.1189
1-Jul-15,1.11
2-Jul-15,1.1066
6-Jul-15,1.1008
7-Jul-15,1.0931
8-Jul-15,1.1024
9-Jul-15,1.1054
